general_name,nb_vald,lat,lon
76 route de Saint-Leu,153965.0,48.9522866725674,2.3377903211239293
Abbesses,3383655.0,48.882599001225785,2.386954420925252
Ablon,634140.0,48.72563703711524,2.419571359809524
Achères Grand Cormier,23165.0,48.955419006523954,2.093650730290918
Achères Ville,1123156.0,48.97048566543032,2.077626879849027
Aimé Césaire,1649620.0,48.9082716605258,2.3777849367132515
Alexandre Dumas,7746330.0,48.893129027517475,2.355172203092084
Allée Royale,32334.0,48.8148545151406,2.078493711441206
Alma Marceau,2378294.0,48.86488223170162,2.3005491210571782
Alésia,2331026.0,48.82817661094765,2.3271429300068087
Anatole France,12063060.0,48.86126431380906,2.330275017517955
Andrésy,234105.0,48.97535763271893,2.046730014352596
Angerville,24116.0,48.31160561950357,2.0037505377493314
Antony,6686118.0,48.754281712627254,2.3014786905550415
Anvers,2676600.0,48.882868568830325,2.344154840330291
Arcueil Cachan,727952.0,48.798643806713244,2.328094786807635
Argenteuil,11128880.0,48.946922075137,2.2578823091142155
Argentine,3842960.0,48.875708112547855,2.2890258302494133
Arpajon,243132.0,48.58599679949327,2.2412169696421245
Arts,4204280.0,48.91596941385379,2.529418872541686
Assemblée Nationale,1412785.0,48.86147263642164,2.3206616650565786
Athis-Mons,204468.0,48.71266832164554,2.4036687241987167
Auber,23706930.0,48.87251285945607,2.3297020730461533
Auberge,517892.0,48.74911116038067,2.414294950904275
Aulnay-sous-Bois,12539968.0,48.93209192082545,2.4957694143109066
Austerlitz,1146365.0,48.87818384886171,2.575542284267031
Auteuil,1215556.0,48.64662557248295,2.2208782720544207
Auvers-sur-Oise,23476.0,49.07034498253814,2.1749164466193154
Avenue Foch,348570.0,48.8698521404861,2.274777870743967
Avenue Henri Martin,494252.0,48.86547110114092,2.272233424676142
Avenue du Président Kennedy,164792.0,48.85353889139849,2.279665638874982
Avigny,37789.0,48.39973420933096,3.226380809149167
Avron,3946266.0,48.85071694209645,2.431652273216649
Aéroport d'Orly,5603860.0,48.72862050853636,2.365374032299776
Bagneaux,15656.0,48.60361428655338,2.9180106362190625
Bagneux,1620783.0,48.79332882151488,2.3220749509583865
Bailly,60964.0,48.836822454217334,2.0747945512488153
Balard,7351806.0,48.83627144517209,2.278242694739086
Ballancourt,68126.0,48.531015305094485,2.3700917174446565
Barbara,4116420.0,48.80977362917356,2.317513059741533
Barbès - Rochechouart,16737939.0,48.88368091197953,2.349825081108145
Bas,4986762.0,48.564866264721736,2.771407671862535
Bastille,30773390.0,48.85239590301798,2.369374000621483
Bel Air,20351394.0,48.791536881866534,2.2293540934396656
Belleville,17643493.0,48.87217078993462,2.3769473161082675
Bellevue,1752690.0,48.89589083856741,2.4513063578884466
Belloy,24142.0,48.90185902915712,2.132884038931804
Bercy,14102620.0,48.83644878208035,2.383713704234663
Bessancourt,128494.0,49.03527556639186,2.210300934912301
Beynes,34419.0,48.89960439348724,1.813561639030545
Bibliothèque,24042865.0,48.74677780242507,2.492164697547578
Bibliothèque François Mitterrand,16782560.0,48.829613167424206,2.3773378624469856
Billancourt,3263785.0,48.831946066869854,2.2380340350538743
Bir-Hakeim,8741784.0,48.85429821957629,2.2894626557866102
Bièvres,62202.0,48.7508724375158,2.216160339620977
Blanche,5686704.0,48.88356359703901,2.332680156962536
Boigneville,6536.0,48.34120863248327,2.378618440408667
Bois Briard,54663.0,48.67212829428705,2.48065592771168
Bois Cahué,13136.0,49.03291599064863,1.5629787829279809
Bois-Colombes,2501960.0,48.91419333706213,2.2716457094802993
Bois-le-Roi,210874.0,48.47579827317948,2.6915425676420517
Boissise-le-Roi,17762.0,48.52985734000723,2.571792914266495
Boissière,5740383.0,48.764496426452936,2.3219157274843796
Boissy-l'Aillerie,38367.0,49.07570844996079,2.0253657754898895
Bolivar,519136.0,48.880788932109226,2.3739851146160023
Bonne Nouvelle,4348184.0,48.87056240054895,2.348498722783223
Bonnières,85016.0,49.03882194564805,1.5820546885446158
Bordin,116012.0,48.94713703985557,2.164153125575179
Botzaris,1288518.0,48.879463326253095,2.3892499447966835
Botzaris - Buttes Chaumont,437888.0,48.87632574239406,2.380852572962091
Boucicaut,3157460.0,48.84096925197077,2.288137185877939
Bouffémont - Moisselles,141672.0,49.04507686338686,2.3229482529618757
Bougival,197040.0,48.85403494698579,2.1321625661240717
Boulainvilliers,591645.0,48.85697805713287,2.2748041438717475
Boulevard Victor,396668.0,48.83368707528649,2.2867108113611416
Boulogne,3271014.0,48.96288029525732,2.5930145457456684
Boulogne-Billancourt - Pont de St-Cloud,1362086.0,48.84062541906589,2.229382874542318
Bouray,236270.0,48.53290340280266,2.29007781366409
Bourg,17105800.0,48.63945457810352,2.9103831996137286
Bourg-la-Reine,5139050.0,48.78027054275945,2.312257135723546
Bourron-Marlotte - Grez,29806.0,48.33245103343327,2.6918764213837347
Bourse,2058558.0,48.86874213499783,2.3407246304437765
Boutigny,25742.0,48.43442542511452,2.3767454804354338
Breuil,68562.0,49.21658568716617,1.7234838440023834
Breuillet Village,82450.0,48.56433413402881,2.1703542573088352
Brochant,1418085.0,48.89080398756028,2.320297433687585
Brouets,1107608.0,48.98195423995123,1.6963869738247932
Brunoy,2581315.0,48.6992622665966,2.506560318470911
Bruyères-sur-Oise,25878.0,49.154966218104754,2.3253430961262174
Bry-sur-Marne,1399946.0,48.845184185998676,2.525598914675556
Bréguet-Sabin,1176646.0,48.856230932854785,2.3702646767835276
Brétigny,6119865.0,48.64586468556538,2.34666360795045
Bréval,36534.0,48.94348886903834,1.5418217423371985
