station_id,station_name,stop_lon,stop_lat,geometry,NB_VALD,JOUR,nb_lignes_fer
IDFM:412687,Pernety,2.31835868317536,48.83412120037293,POINT (649964.4699978973 6859556.749999358),7619.0,2025-04-14,1
IDFM:412697,Noisy-le-Grand - Mont d'Est,2.550026754158765,48.84088525041221,POINT (666974 6860187),25244.0,2025-04-14,1
IDFM:412992,Boucicaut,2.287856446222868,48.84107325733669,POINT (647732.4999956976 6860349.499998134),8531.0,2025-04-14,1
IDFM:415852,Hôtel de Ville,2.351776579459136,48.85746999227153,POINT (652438.7499508952 6862132.249959459),31384.0,2025-04-14,2
IDFM:422067,Le Val d'Or,2.2165513289937904,48.85625374079433,POINT (642516 6862086.9607000025),2691.0,2025-04-14,1
IDFM:422420,Viroflay Rive Droite,2.1676545647835206,48.805472581494975,POINT (638868.9068000019 6856477.500000001),2670.0,2025-04-14,1
IDFM:422776,Essonnes Robinson,2.463295818844443,48.60581740091332,POINT (660430.7927000001 6834092.0458),236.0,2025-04-14,1
IDFM:424296,Gare de Villiers Neauphle Pontchartrain,1.877535784941356,48.81532337552301,POINT (617578.132600002 6857836.4487),767.0,2025-04-14,1
IDFM:424396,Ivry-sur-Seine,2.391677280020743,48.8139591342409,POINT (655329 6857271.000000001),4018.0,2025-04-14,1
IDFM:425779,Les Sablons,2.271904762259129,48.88129083793358,POINT (646603 6864832),19743.0,2025-04-14,1
IDFM:426280,Rosny Bois Perrier,2.480801849809587,48.88289421537817,POINT (661923.9877830562 6864889.289197135),8950.0,2025-04-14,2
IDFM:426280,Rosny Bois Perrier,2.480801849809587,48.88289421537817,POINT (661923.9877830562 6864889.289197135),2615.0,2025-04-14,2
IDFM:427230,Robinson,2.281364769669608,48.78023982792202,POINT (647194.5 6853590),6272.0,2025-04-14,1
IDFM:461505,Châtillon-Montrouge,2.3016565820231976,48.81073980724782,POINT (648715.5000009829 6856967.749998247),20884.0,2025-04-14,1
IDFM:462934,Ozoir-la-Ferrière,2.690116190500944,48.77076716837013,POINT (677225.2694000006 6852341.160100003),2807.0,2025-04-14,1
IDFM:463564,Bastille,2.369048487542216,48.85291940963131,POINT (653701.9485804694 6861615.9999082945),30759.0,2025-04-14,3
IDFM:463754,Sèvres Rive Gauche,2.215079572125279,48.82121360785643,POINT (642369.2867999971 6858192.000000001),1181.0,2025-04-14,1
IDFM:473829,Bir-Hakeim,2.2893485473490305,48.85390482281953,POINT (647854.8500014984 6861775.2499987),21388.0,2025-04-14,1
IDFM:474149,Château Landon,2.362031514557011,48.87844602475876,POINT (653210.0000000866 6864458.499999912),4721.0,2025-04-14,1
IDFM:474150,La Muette,2.2740962446697224,48.85809196689865,POINT (646740 6862251.000000002),8618.0,2025-04-14,1
IDFM:474152,Porte Dauphine,2.2777210335666034,48.871565955611615,POINT (647019.6500209911 6863746.749994746),6492.0,2025-04-14,1
IDFM:478505,Juvisy,2.383334629403869,48.68970940912314,POINT (654608.5 6843461.499999998),23352.0,2025-04-14,2
IDFM:478855,Étampes,2.1598724308074213,48.43710702434922,POINT (637861.6685996202 6815533.704187311),2847.0,2025-04-14,2
IDFM:478860,Villejuif - Gustave Roussy,2.349242973685248,48.79323850572557,POINT (652194.0000000007 6854991.999999915),4783.0,2025-04-14,1
IDFM:478883,Porte de Clignancourt,2.344685686142838,48.89754170634836,POINT (651955.4700013794 6866592.249998214),20604.0,2025-04-14,1
IDFM:478885,Le Peletier,2.340178509581356,48.87490559985584,POINT (651603.9999978781 6864077.99999951),7592.0,2025-04-14,1
IDFM:478926,Auber,2.3296591495793595,48.8723488407182,POINT (650830.0402000025 6863800.205700001),23377.0,2025-04-14,1
IDFM:479068,Etienne Marcel,2.3489761968791085,48.86370301202431,POINT (652239 6862826.999999998),6965.0,2025-04-14,1
IDFM:479928,Buzenval,2.401170769368413,48.85176243983227,POINT (656058 6861469),5060.0,2025-04-14,1
IDFM:482368,Havre-Caumartin,2.3275874140853463,48.87361018543076,POINT (650679.2750127339 6863941.749995971),14458.0,2025-04-14,2
IDFM:483315,Bagneux - Lucie Aubrac,2.3174789014519965,48.80353934589705,POINT (649870.4999997416 6856156.9999998035),8810.0,2025-04-14,1
IDFM:488087,Nanterre-La-Folie,2.226568794458685,48.89758132477412,POINT (643296 6866675.000000001),5010.0,2025-04-14,1
IDFM:490779,Serge Gainsbourg,2.427162415882436,48.88123055247157,POINT (657988.999999992 6864731.499999974),4739.0,2025-04-14,1
IDFM:490782,La Dhuys,2.4651362637660235,48.87804725437748,POINT (660771.5000010182 6864357.99999974),5206.0,2025-04-14,1
IDFM:490783,Coteaux Beauclair,2.4673990524359377,48.88210429294412,POINT (660940.4999991355 6864807.999999443),2803.0,2025-04-14,1
IDFM:490784,Saint-Denis - Pleyel,2.345816775967013,48.91882330708285,POINT (652057.999991232 6868957.999997429),6623.0,2025-04-14,1
IDFM:492980,Pont de l'Alma,2.3003592740110994,48.86247496310803,POINT (648671.2013000026 6862720.9558999995),7842.0,2025-04-14,1
IDFM:59403,Angerville,2.0037505377493314,48.3116056195036,POINT (626139.0004418977 6801719.499896769),198.0,2025-04-14,1
IDFM:59420,Boigneville,2.378618440416535,48.341208632507616,POINT (653956.5 6804725),41.0,2025-04-14,1
IDFM:59429,Monnerville,2.032496711110358,48.34861020605319,POINT (628320.5000422273 6805805.645470478),23.0,2025-04-14,1
IDFM:59447,Buno - Gironville,2.387254108315933,48.37149489082515,POINT (654622.5 6808086.1955),43.0,2025-04-14,1
