stop_name,lat,lon
COURCELLES,48.8794066,2.3043565
COURNEUVE,48.8459219,2.3559986
COURONNES,48.8690533,2.3804541
CRECY LA C T14,,
CRECY LA CHAPEL,,
CRETEIL POMPADOUR,,
CRETEIL-ECHAT,48.7936507,2.460384
CRETEIL-P. LAC,,
CRETEIL-PREF.,,
CRETEIL-UNIV.,,
CRIMEE,48.8908513,2.3773681
CROUY SUR OURCQ,,
CRX.DE CHAVAUX,,
Camp des loges T13,,
DAMMARTIN,49.0337334,2.6395092
DANUBE,48.8819488,2.393338
DAUMESNIL,48.8395922,2.3962319
DEFENSE,48.8643207,2.3049352
DEFENSE RER E,,
DENFERT-ROCH.,,
DEUIL MONTMAGNY,,
DOMONT,,
DOURDAN,48.5701227,2.0341602
DOURDAN LA FORE,,
DRANCY,48.9199861,2.4252965
DUGNY COURNEUVE,,
DUGOMMIER,48.8390379,2.3897217
DUPLEIX,48.8504095,2.2936611
DUROC,48.8468433,2.3166286
EC.MILITAIRE,,
ECOUEN,,
EDGAR QUINET,48.84111,2.3250699
EGLI.D'AUTEUIL,,
EGLI.DE PANTIN,,
EGLY,,
EMERAINVILLE,48.8214366,2.6252952
ENGHIEN,48.8718538,2.3518383
EPINAY SO T12,,
EPINAY SUR ORGE,,
EPINAY SUR SEIN,,
EPINAY SUR ST11,48.9530958,2.3126446
EPINAY VIL T11,,
EPINAY VILLETAN,,
EPLUCHES,,
EPONE MEZIERES,,
ERAGNY NEUVILLE,,
ERMONT EAUBONNE,,
ERMONT HALTE,,
ESBLY,48.8747092,2.3568262
ESPLANADE DEF.,,
ESSARTS LE ROI,,
ESSONNES ROBINS,,
ETAMPES,48.4377063,2.1638789
ETANG LA VILLE,,
ETIENNE MARCEL,48.8640258,2.3498519
ETRECHY,48.4864411,2.1944953
EUROPE,48.8787706,2.3222823
EVRY,48.6397451,2.4690378
EVRY COUR T12,,
EVRY COURCOURON,,
EXELMANS,48.8430044,2.2600472
F.D.ROOSEVELT,,
FAIDHERBE-CHA.,,
FALGUIERE,48.8444916,2.317965
FAREMOUTIERS,,
FELIX FAURE,48.8426775,2.2917792
FERME NEUVE T12,,
FERTE ALAIS,,
FERTE SS JOUARR,,
FILLES DU CALV,,
FONTAINE LE POR,,
FONTAINE-MICH.,,
FONTAINEBLEAU,48.8856838,2.3914026
FONTENAY FLEURY,,
FONTENAY-AUX-R,,
FONTENAY-S-B.,48.8406943,2.4617049
FORT D'AUBERV.,,
FR. POPULAIRE,,
FRANCONVILLE,48.9806126,2.2346123
FREPILLON,,
FRETTE MONTIGNY,,
FUNICULAIRE,48.8857954,2.3425196
GABRIEL PERI,48.8753997,2.3239942
GAGNY GARE,,
GAITE,48.838644,2.3225369
GALLIENI,48.8465159,2.4166693
GAMBETTA,48.8649327,2.3980541
GARANCIERES,,
GARCHES MARNES,,
GARE D'AUSTER.,,
GARE DE L'EST,48.8770979,2.3594905
GARE DE LYON,48.8443818,2.3748001
GARE DU NORD,48.8795666,2.3572124
GARENNE COLOMBE,,
GARGENVILLE,48.9880043,1.8121804
GARGES SARCELLE,,
GARIBALDI,,
GAZERAN,,
GDS BOULEVARDS,,
GENNEVILLIERS,48.8753061,2.325316
GENTILLY,48.8161927,2.3406304
GEORGE V,48.872076,2.3004214
GIF-S-SYVETTE,,
GLACIERE,48.8311451,2.3434916
GONCOURT,48.8699854,2.3710671
GOUSSAINVILLE,48.8552783,2.3643534
GRAND BOURG,,
GRANDE PAROISSE,,
GRAVIGNY BAL T12,,
GRESILLONS,,
GRETZ,48.7386822,2.7588637
GRIGNY CENTRE,,
GROS NOYER,,
GROSLAY,,
GUERARD,,
GUILLERVAL,,
GUY MOQUET,48.8927389,2.3273435
HAUSSMANN-SAINT-LAZARE,48.8749979,2.3286951
HAVR.CAUMARTIN,,
HERBLAY,48.9911572,2.1676784
HERICY,,
HOCHE,48.876362,2.3015161
HOP. BICETRE,,
HOTEL DE VILLE,48.8564263,2.3525276
HOUDAN,48.7925044,1.6006013
HOUILLES,,
IENA,48.8646131,2.2937335
IGNY,,
INVALIDES,48.8601723,2.314497
ISLE ADAM,48.8685737,2.3993978
ISLES ARMENTIER,,
ISSOU PORCHEVIL,,
ISSY GARE,,
ISSY VAL SEI,,
IVRY SUR SEINE,,
Inconnu,48.8737505,2.295133
J.BONSERGENT,48.8710142,2.3610301
JASMIN,48.8525598,2.2681802
JAURES,48.8825949,2.3703263
JAVEL,48.8463026,2.2768999
JOINVILLE-LE-P,48.8177065,2.465163
JOURDAIN,48.8750944,2.38933
JOUY EN JOSAS,,
JULES JOFFRIN,48.8925349,2.3446536
JUSSIEU,48.8461357,2.3559859
JUVISY,,
JUZIERS,,
KLEBER,48.8716801,2.2935185
KREML.BICETRE,,
L'Etang - Les Sablons T13,,
L'HAY-LES-ROSE,,
LA CHAPELLE,48.8844068,2.3603057
LA COURNEUVE,48.8459219,2.3559986
LA CROIX-D-BER,,
LA DEFENSE,48.8852971,2.3271458
LA DHUYS,48.8716269,2.4139391
LA FOURCHE,48.886971,2.3258228
LA HACQUINIERE,,
LA MOTTE-PICQ.,,
LA MUETTE,48.8579754,2.274062
LA VARENNE-CH.,,
LAGNY THORIGNY,,
LAMARCK-CAUL.,,
LAPLACE,48.8473298,2.3474591
LARDY,46.7921091,4.859703
LATOUR-MAUB.,,
LAUMIERE,48.8851647,2.3794369
LE GUICHET,48.8405483,2.3222504
LE PARC S.MAUR,,
LE PELETIER,48.8749504,2.3404834
LE VESINET-CEN,,
LE VESINET-L.P,,
LEDRU-ROLLIN,48.8512945,2.3760274
LES AGNETTES,,
LES BACONNETS,,
LES COURTILLES,48.8667698,2.3823679
LES GOBELINS,48.8356304,2.3526735
LES HALLES,48.8621646,2.3458801
LES SABLONS,48.864449,2.2825423
LIBERTE,48.864183,2.300876
LIEGE,48.8796039,2.3270446
LIEUSAINT-MOISS,,
LIMAY,,
LIVRY SUR SEINE,,
LIZY SUR OURCQ,,
LOGNES,48.8214366,2.6252952
LONGJUMEAU,48.7441448,2.3544028
LONGUEVILLE,,
LOUIS BLANC,48.8813308,2.3653555
LOUISE MICHEL,48.8877311,2.2882219
LOURMEL,48.8387364,2.2821481
LOUVECIENNES,,
LOUVRE,48.8611473,2.3380277
LOUVRES,49.0466624,2.5109915
LOZERE,48.8526538,2.3430082
LUCIE AUBRAC,48.8680597,2.3745021
LUXEMBOURG,48.8454719,2.339808
LUZARCHES,,
Les Portes de Saint-Cyr T13,,
Lisière Pereire T13,,
M. MONTROUGE,48.8236762,2.3231609
M.ANGE-AUTEUIL,48.8410616,2.2585974
M.ANGE-MOLITOR,,
M.L.V.CHESSY,,
MABILLON,48.8528857,2.3349394
MADELEINE,48.8704096,2.3265686
MAGENTA,48.8808038,2.3587094
MAIRIE CLICHY,,
MAIRIE D'AUBERVILLIERS,,
MAIRIE D'ISSY,48.8784664,2.3372958
